Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg,clock,weight_clock
cg05024939,chr4,113442251,N_Shore,,,hg19,AGE,1
cg07589899,chr2,62020677,OpenSea,,,hg19,AGE,1
cg15205547,chr7,23514347,Island,,,hg19,AGE,1
cg21620282,chr14,93389628,Island,CHGA;CHGA;CHGA;CHGA,5'UTR;5'UTR;1stExon;1stExon,hg19,AGE,1
cg22598432,chr2,163588764,OpenSea,KCNH7;KCNH7,Body;Body,hg19,AGE,-1
cg19802138,chr13,112722719,Island,SOX1,1stExon,hg19,AGE,1
cg07547549,chr20,44658225,Island,SLC12A5;SLC12A5,Body;Body,hg19,AGE,1
cg11344566,chr2,124782885,Island,CNTNAP5;CNTNAP5,5'UTR;1stExon,hg19,AGE,1
cg13327545,chr10,22623548,Island,,,hg19,AGE,1
cg25258740,chr12,75603230,Island,KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon,hg19,AGE,1
cg04200224,chr6,25652390,Island,SCGN,TSS200,hg19,AGE,1
cg19392831,chr10,120355756,Island,PRLHR,TSS1500,hg19,AGE,1
cg23449696,chr3,147125942,N_Shore,ZIC1,TSS1500,hg19,AGE,1
cg17508941,chr7,19183280,N_Shore,,,hg19,AGE,1
cg23077820,chr2,223154176,N_Shore,PAX3;PAX3;PAX3;PAX3;PAX3;PAX3,Body;Body;Body;Body;Body;Body,hg19,AGE,1
cg17152981,chr6,110299835,Island,GPR6,TSS1500,hg19,AGE,1
cg03005384,chr14,91818034,OpenSea,CCDC88C,Body,hg19,AGE,-1
cg07766263,chr3,170303045,Island,SLC7A14,5'UTR,hg19,AGE,1
cg13995073,chr19,54481594,Island,CACNG8,Body,hg19,AGE,1
cg16544169,chr8,23564717,Island,NKX2-6,TSS1500,hg19,AGE,1
cg02722188,chr4,55099058,Island,PDGFRA,5'UTR,hg19,AGE,1
cg26931862,chr12,54349169,Island,HOXC12,1stExon,hg19,AGE,1
cg19037350,chr5,140734648,N_Shore,PCDHGA4;PCDHGA4;PCDHGA2;PCDHGA1;PCDHGB1;PCDHGA3,TSS200;TSS200;Body;Body;Body;Body,hg19,AGE,1
cg05410198,chr3,186915302,N_Shelf,RTP1;RTP1,1stExon;5'UTR,hg19,AGE,1
cg14228146,chr2,119607395,Island,,,hg19,AGE,1
cg13524919,chr21,34396506,Island,,,hg19,AGE,1
cg25410668,chr1,28241577,S_Shore,RPA2,TSS1500,hg19,AGE,1
cg14781189,chr2,163695111,OpenSea,KCNH7;KCNH7;KCNH7;KCNH7,1stExon;5'UTR;1stExon;5'UTR,hg19,AGE,1
cg23115387,chr1,47882936,Island,FOXE3,1stExon,hg19,AGE,1
cg05934406,chr5,140807771,Island,PCDHGB8P;PCDHGA8;PCDHGB5;PCDHGA9;PCDHGB6;PCDHGA10;PCDHGB7;PCDHGA11;PCDHGA11;PCDHGA1;PCDHGA2;PCDHGA3;PCDHGB1;PCDHGA4;PCDHGB2;PCDHGA5;PCDHGB3;PCDHGA6;PCDHGA7;PCDHGB4,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,hg19,AGE,1
