Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg,coef,pval,pval_adj
cg01846046,chr11,64034019,N_Shore,PLCB3,Body,hg19,-0.0818970662550446,5.25053936307519e-05,0.009567185540091
cg09369124,chr16,89650950,Island,CPNE7;CPNE7,Body;Body,hg19,-0.121752273918945,3.46916051368775e-05,0.00765751429388651
cg08894131,chr1,147231061,OpenSea,GJA5;GJA5,Body;Body,hg19,-0.0720364797479776,0.000105354997544721,0.014102909084704
cg02305353,chr12,113307748,OpenSea,RPH3A;RPH3A,Body;Body,hg19,-0.0394788203046266,0.000403584120842349,0.0300566785100958
cg00020340,chr7,910388,OpenSea,UNC84A;UNC84A,Body;Body,hg19,0.00554847420541874,0.000632299184140482,0.0379296105773216
cg15831060,chr2,98326561,OpenSea,,,hg19,0.12749513497878,0.000358203561676025,0.0282418107445975
cg09780768,chr19,54498824,S_Shelf,CACNG6;CACNG6;CACNG6,Body;Body;Body,hg19,-0.0716801702029991,0.000214146336235665,0.021173511925803
cg02873315,chr10,131927449,Island,,,hg19,0.174119478728237,0.000349005214215997,0.0278673168942516
cg21664854,chr7,1097933,Island,C7orf50;C7orf50;C7orf50;GPR146,Body;Body;Body;1stExon,hg19,0.0216040676497561,0.000299368878578752,0.025615022769972
cg09967973,chr17,77037916,OpenSea,C1QTNF1;C1QTNF1;C1QTNF1,5'UTR;5'UTR;5'UTR,hg19,-0.105986686279046,0.000724515780645985,0.0407214597720086
cg03828109,chr17,3600356,S_Shore,P2RX5;P2RX5;P2RX5,TSS1500;TSS1500;TSS1500,hg19,0.116249301799029,2.63035525499567e-05,0.00659144725358747
cg14480530,chr8,142183507,Island,DENND3,Body,hg19,0.128906073475501,0.000166167036025702,0.0182637119990385
cg25436375,chr22,23877425,OpenSea,,,hg19,-0.0308354989411587,0.00025316712254403,0.0231823760042283
cg01885839,chr5,111017556,OpenSea,,,hg19,0.0835948300510314,0.000111658167459261,0.0145981337656265
cg02291365,chr13,25317267,N_Shelf,,,hg19,-0.120790738320731,1.62742209474025e-05,0.0049784148382202
cg16648355,chr8,95654179,Island,ESRP1;ESRP1;ESRP1;ESRP1;ESRP1,Body;Body;Body;Body;Body,hg19,0.0735964519744609,0.000480669003743873,0.0328549234742939
cg25648267,chr5,134370385,Island,PITX1,TSS1500,hg19,0.0297008615841018,0.000911421236848526,0.0460166147617817
cg03344433,chr5,84126213,OpenSea,,,hg19,-0.191190772445181,9.16707445003957e-05,0.0129934755512876
cg05407003,chr7,23246146,Island,,,hg19,0.0706982307797142,6.42936823783725e-05,0.0108114757754343
cg13469457,chr9,110501986,OpenSea,,,hg19,0.0548706129342293,0.000595092635980204,0.0368471743196386
cg26978172,chr6,31696223,Island,DDAH2,Body,hg19,0.0928836977342571,0.00100812727776895,0.0485030746445251
cg26279822,chr5,5652693,OpenSea,,,hg19,-0.0717979855884234,4.27694621440711e-05,0.00855099595246679
cg05933997,chr16,86735122,OpenSea,,,hg19,-0.0562337966972945,0.000118283771769432,0.0151321910281685
cg10508058,chr2,522276,OpenSea,,,hg19,-0.0441051026383738,0.000376012891261393,0.0289770628437749
cg24430642,chr22,50528746,Island,MOV10L1;MOV10L1;MOV10L1;MOV10L1,Body;1stExon;5'UTR;Body,hg19,0.0215520746394579,0.000982185883831491,0.0478689079456331
cg20441902,chr19,49199029,N_Shore,FUT2;FUT2,TSS200;TSS200,hg19,0.0930485248502281,0.000335585298932388,0.0272016766057381
cg19571304,chr2,96952768,OpenSea,SNRNP200,Body,hg19,0.0307495074982373,3.24892699742806e-05,0.00741359806948003
cg24306430,chr12,124590463,OpenSea,,,hg19,-0.0307137691369248,0.000634398491056319,0.037984549163964
cg11623293,chr17,78859060,S_Shore,RPTOR;RPTOR,Body;Body,hg19,0.0110813493393466,0.000720965191047608,0.0405451236828149
cg21814870,chr4,62383240,Island,LPHN3,Body,hg19,-0.100840149991621,7.27722955283853e-06,0.00314209797018489
cg10899768,chr8,102506635,S_Shore,GRHL2,Body,hg19,0.0738229187642182,0.000709920158798085,0.0402585556892172
