Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg
cg15241920,chr19,54926514,N_Shore,TTYH1;TTYH1,TSS200;TSS200,hg19
cg14604802,chr18,60986766,Island,BCL2;BCL2,TSS200;TSS200,hg19
cg26538529,chr2,222437130,Island,EPHA4,TSS200,hg19
cg00266715,chr17,14204362,Island,HS3ST3B1,TSS200,hg19
cg13469471,chr6,7541847,Island,DSP;DSP,TSS200;TSS200,hg19
cg16643840,chr6,391664,Island,IRF4,TSS200,hg19
cg23003534,chr10,105036747,Island,INA,TSS200,hg19
cg14663510,chr10,124895461,Island,HMX3,TSS200,hg19
cg24997298,chr17,15166062,Island,PMP22;PMP22,TSS200;5'UTR,hg19
cg08737152,chr16,57318720,Island,PLLP,TSS200,hg19
cg25142308,chr22,38851363,S_Shore,KCNJ4,TSS200,hg19
cg12639324,chr10,92617735,Island,HTR7;HTR7;HTR7,TSS200;TSS200;TSS200,hg19
cg20315951,chr11,65554398,Island,OVOL1,TSS200,hg19
cg11090676,chr17,45810512,N_Shore,TBX21,TSS200,hg19
cg24513433,chr18,47088234,Island,LIPG,TSS200,hg19
cg23253569,chr21,34398222,Island,OLIG2,TSS200,hg19
cg20474699,chr14,102976161,Island,ANKRD9,TSS200,hg19
cg22603247,chr10,124907553,Island,HMX2,TSS200,hg19
cg13505011,chr12,133264131,Island,POLE;PXMP2,TSS200;TSS200,hg19
cg19643390,chr17,48712205,Island,ABCC3;ABCC3,TSS200;TSS200,hg19
cg03410436,chr10,1779904,Island,ADARB2,TSS200,hg19
cg15096815,chr1,59249838,Island,JUN,TSS200,hg19
cg22762091,chr8,132052843,Island,ADCY8,TSS200,hg19
cg03093838,chr6,137815725,N_Shore,OLIG3,TSS200,hg19
cg13640626,chr6,132722778,Island,MOXD1,TSS200,hg19
cg23899628,chr15,45406506,Island,DUOX2;DUOXA2,TSS200;TSS200,hg19
cg06359096,chr12,49932795,Island,KCNH3,TSS200,hg19
cg10583297,chr15,45422095,Island,DUOX1;DUOX1;DUOXA1,TSS200;TSS200;TSS200,hg19
cg12528713,chr4,81187605,Island,FGF5;FGF5,TSS200;TSS200,hg19
cg04021745,chr1,236445389,Island,ERO1LB,TSS200,hg19
